LOCATIONID,LAT,LON,POLICE_DISTRICT,DISTRICT
165,42.32,-71.08,B2,Roxbury
166,42.35,-71.17,D14,Brighton
167,42.3,-71.09,,
168,42.3,-71.08,B3,Mattapan
169,42.33,-71.08,B2,Roxbury
170,42.36,-71.05,A1,Downtown?
171,42.3,-71.08,C11,Dorchester
172,42.29,-71.1,E13,Jamaica Plain
173,42.34,-71.08,,
174,42.37,-71.04,A7,East Boston
175,42.34,-71.07,D4,South End
176,42.29,-71.07,C11,Dorchester
177,42.29,-71.06,C11,Dorchester
178,42.3,-71.06,C11,Dorchester
179,42.34,-71.07,D4,South End
180,42.35,-71.14,D14,Brighton
181,42.28,-71.07,C11,Dorchester
182,42.35,-71.07,A1,Downtown?
183,42.34,-71.1,D4,South End
184,42.31,-71.06,C11,Dorchester
185,42.33,-71.06,C6,South Boston
186,42.32,-71.06,C11,Dorchester
187,42.35,-71.1,D4,South End
188,42.26,-71.12,E18,Hyde Park
189,42.27,-71.1,E18,Hyde Park
190,42.27,-71.09,B3,Mattapan
191,42.38,-71.03,A7,East Boston
192,42.27,-71.09,B3,Mattapan
193,42.32,-71.1,E13,Jamaica Plain
194,42.35,-71.06,A1,Downtown?
195,42.33,-71.1,B2,Roxbury
196,42.3,-71.06,C11,Dorchester
197,42.32,-71.11,E13,Jamaica Plain
198,42.35,-71.06,A1,Downtown?
199,42.32,-71.1,B2,Roxbury
200,42.33,-71.03,C6,South Boston
201,42.29,-71.06,C11,Dorchester
202,42.31,-71.08,,
203,42.35,-71.08,D4,South End
204,42.31,-71.07,,
205,42.31,-71.07,C11,Dorchester
206,42.32,-71.05,C11,Dorchester
207,42.33,-71.09,B2,Roxbury
208,42.28,-71.12,E18,Hyde Park
209,42.34,-71.04,C6,South Boston
210,42.35,-71.15,D14,Brighton
211,42.28,-71.09,B3,Mattapan
212,42.29,-71.07,C11,Dorchester
213,42.29,-71.08,B3,Mattapan
214,42.32,-71.08,B2,Roxbury
215,42.29,-71.08,B3,Mattapan
216,42.35,-71.15,D14,Brighton
217,42.24,-71.14,E18,Hyde Park
218,42.33,-71.1,E13,Jamaica Plain
219,42.31,-71.06,C11,Dorchester
220,42.35,-71.07,A1,Downtown?
221,-1.0,-1.0,,
222,42.36,-71.06,A1,Downtown?
223,42.35,-71.05,C6,South Boston
224,42.31,-71.09,B2,Roxbury
225,42.35,-71.13,D14,Brighton
226,42.35,-71.1,D4,South End
227,42.31,-71.07,C11,Dorchester
228,42.34,-71.03,C6,South Boston
229,42.33,-71.08,B2,Roxbury
230,42.37,-71.04,A7,East Boston
231,42.28,-71.07,,
232,42.31,-71.09,B2,Roxbury
233,42.35,-71.13,D14,Brighton
234,42.33,-71.08,B2,Roxbury
235,42.36,-71.06,,
236,42.29,-71.06,C11,Dorchester
237,42.34,-71.1,D4,South End
238,42.38,-71.04,A7,East Boston
239,42.3,-71.08,B3,Mattapan
240,42.34,-71.07,D4,South End
241,42.33,-71.1,E13,Jamaica Plain
242,42.33,-71.11,E13,Jamaica Plain
243,42.29,-71.08,B3,Mattapan
244,42.25,-71.12,E18,Hyde Park
245,42.33,-71.07,B2,Roxbury
246,42.32,-71.09,B2,Roxbury
247,42.31,-71.1,,
248,42.26,-71.12,E18,Hyde Park
249,42.29,-71.08,B3,Mattapan
250,42.37,-71.05,A1,Downtown?
251,42.34,-71.08,,
252,42.26,-71.12,E18,Hyde Park
253,42.28,-71.07,C11,Dorchester
254,42.35,-71.13,D14,Brighton
255,42.3,-71.06,C11,Dorchester
256,42.36,-71.06,A1,Downtown?
257,42.25,-71.12,E18,Hyde Park
258,42.31,-71.08,B2,Roxbury
259,42.32,-71.11,E13,Jamaica Plain
260,42.37,-71.06,A15,Charlestown
261,42.33,-71.09,B2,Roxbury
262,42.33,-71.05,C6,South Boston
263,42.29,-71.09,B3,Mattapan
264,42.31,-71.1,E13,Jamaica Plain
265,42.3,-71.08,B3,Mattapan
266,42.35,-71.07,,
267,42.3,-71.07,C11,Dorchester
268,42.34,-71.09,D4,South End
269,42.38,-71.05,A15,Charlestown
270,42.25,-71.13,E18,Hyde Park
271,42.31,-71.09,B2,Roxbury
272,42.31,-71.08,B2,Roxbury
273,42.35,-71.08,D4,South End
274,42.31,-71.07,C11,Dorchester
275,42.36,-71.06,,
276,42.28,-71.09,B3,Mattapan
277,42.36,-71.13,D14,Brighton
278,42.3,-71.06,C11,Dorchester
279,42.31,-71.09,B2,Roxbury
280,42.28,-71.06,C11,Dorchester
281,42.29,-71.06,C11,Dorchester
282,42.27,-71.12,E18,Hyde Park
283,42.35,-71.15,,
284,42.28,-71.1,B3,Mattapan
285,42.35,-71.09,D4,South End
286,42.35,-71.08,D4,South End
287,42.34,-71.06,C6,South Boston
288,42.29,-71.08,B3,Mattapan
289,42.31,-71.07,C11,Dorchester
290,42.33,-71.11,E13,Jamaica Plain
291,42.33,-71.08,B2,Roxbury
292,42.32,-71.1,E13,Jamaica Plain
293,42.36,-71.05,A1,Downtown?
294,42.3,-71.06,C11,Dorchester
295,42.35,-71.14,D14,Brighton
296,42.36,-71.06,A1,Downtown?
297,42.31,-71.09,B2,Roxbury
298,42.3,-71.07,C11,Dorchester
299,42.3,-71.07,C11,Dorchester
300,42.33,-71.08,B2,Roxbury
301,42.31,-71.07,C11,Dorchester
302,42.31,-71.06,C11,Dorchester
303,42.34,-71.09,D4,South End
304,42.29,-71.07,C11,Dorchester
305,42.35,-71.13,D14,Brighton
306,42.3,-71.08,B3,Mattapan
307,42.29,-71.09,B3,Mattapan
308,42.26,-71.11,E18,Hyde Park
309,42.27,-71.11,E18,Hyde Park
310,42.34,-71.05,C6,South Boston
311,42.29,-71.06,C11,Dorchester
312,42.28,-71.17,E5,West Roxbury
313,42.36,-71.13,D14,Brighton
314,42.29,-71.05,C11,Dorchester
315,42.38,-71.07,A15,Charlestown
316,42.34,-71.06,D4,South End
317,42.31,-71.08,B2,Roxbury
318,42.34,-71.04,C6,South Boston
319,42.29,-71.07,C11,Dorchester
320,42.33,-71.08,B2,Roxbury
321,42.27,-71.17,E5,West Roxbury
322,42.24,-71.13,E18,Hyde Park
323,42.34,-71.16,,
324,42.36,-71.06,A1,Downtown?
325,42.38,-71.03,A7,East Boston
326,42.35,-71.13,D14,Brighton
327,42.33,-71.11,B2,Roxbury
328,42.28,-71.05,C11,Dorchester
329,42.3,-71.07,C11,Dorchester
330,42.32,-71.06,C11,Dorchester
331,42.26,-71.13,E18,Hyde Park
332,42.36,-71.05,A1,Downtown?
333,42.32,-71.05,C11,Dorchester
334,42.34,-71.08,D4,South End
335,,,B2,Roxbury
336,42.29,-71.05,C11,Dorchester
337,42.37,-71.05,A1,Downtown?
338,42.33,-71.04,C6,South Boston
339,42.33,-71.06,C6,South Boston
340,42.35,-71.13,D14,Brighton
341,42.34,-71.09,D4,South End
342,42.34,-71.15,D14,Brighton
343,42.35,-71.16,D14,Brighton
344,42.3,-71.07,C11,Dorchester
345,42.29,-71.13,E5,West Roxbury
346,42.38,-71.02,,
347,42.33,-71.05,C6,South Boston
348,,,C6,South Boston
349,42.3,-71.07,C11,Dorchester
350,42.35,-71.14,D14,Brighton
351,42.3,-71.09,,
352,42.31,-71.08,B2,Roxbury
353,42.32,-71.1,E13,Jamaica Plain
354,42.36,-71.06,A1,Downtown?
355,42.3,-71.11,,
356,42.3,-71.07,B3,Mattapan
357,42.34,-71.06,C6,South Boston
358,42.29,-71.09,B3,Mattapan
359,42.32,-71.06,C11,Dorchester
360,42.34,-71.16,D14,Brighton
361,42.32,-71.07,B2,Roxbury
362,42.35,-71.13,D14,Brighton
363,42.38,-71.04,A7,East Boston
364,42.34,-71.1,D4,South End
365,42.32,-71.1,,
366,-1.0,-1.0,,
367,42.37,-71.04,A7,East Boston
368,42.27,-71.09,B3,Mattapan
369,42.37,-71.06,A1,Downtown?
370,42.33,-71.04,C6,South Boston
371,42.3,-71.06,C11,Dorchester
372,42.29,-71.09,B3,Mattapan
373,42.29,-71.07,C11,Dorchester
374,42.35,-71.13,D14,Brighton
375,-1.0,-1.0,,
376,42.36,-71.06,A1,Downtown?
377,42.26,-71.15,E5,West Roxbury
378,42.29,-71.07,C11,Dorchester
379,42.35,-71.16,D14,Brighton
380,42.3,-71.07,C11,Dorchester
381,-1.0,-1.0,,
382,42.29,-71.12,E13,Jamaica Plain
383,42.33,-71.07,,
384,42.34,-71.08,,
385,42.27,-71.08,B3,Mattapan
386,42.35,-71.08,,
387,42.35,-71.13,D14,Brighton
388,42.35,-71.11,D4,South End
389,42.35,-71.07,,
390,42.35,-71.08,D4,South End
391,42.32,-71.07,B2,Roxbury
392,42.32,-71.06,C11,Dorchester
393,42.35,-71.14,D14,Brighton
394,42.24,-71.13,E18,Hyde Park
395,42.35,-71.09,D4,South End
396,42.34,-71.08,D4,South End
397,42.3,-71.07,C11,Dorchester
398,42.28,-71.13,E5,West Roxbury
399,42.33,-71.04,C6,South Boston
400,42.32,-71.11,E13,Jamaica Plain
401,42.3,-71.06,C11,Dorchester
402,42.28,-71.09,B3,Mattapan
403,42.25,-71.11,E18,Hyde Park
404,42.38,-71.04,A7,East Boston
405,42.36,-71.06,A1,Downtown?
406,42.28,-71.07,B3,Mattapan
407,42.32,-71.07,B2,Roxbury
408,42.33,-71.04,C6,South Boston
409,42.26,-71.12,E18,Hyde Park
410,42.33,-71.08,B2,Roxbury
411,42.28,-71.1,B3,Mattapan
412,42.32,-71.1,E13,Jamaica Plain
413,42.34,-71.09,,
414,42.33,-71.07,B2,Roxbury
415,42.36,-71.06,A1,Downtown?
416,42.33,-71.05,C6,South Boston
417,42.3,-71.07,C11,Dorchester
418,42.33,-71.11,,
419,42.33,-71.09,B2,Roxbury
420,42.3,-71.07,C11,Dorchester
421,42.36,-71.06,A1,Downtown?
422,42.37,-71.06,A1,Downtown?
423,42.3,-71.06,C11,Dorchester
424,42.27,-71.13,E18,Hyde Park
425,42.37,-71.05,A1,Downtown?
426,42.31,-71.11,E13,Jamaica Plain
427,42.33,-71.11,B2,Roxbury
428,42.3,-71.08,B3,Mattapan
429,42.3,-71.06,C11,Dorchester
430,42.27,-71.08,B3,Mattapan
431,42.29,-71.14,E5,West Roxbury
432,42.32,-71.11,E13,Jamaica Plain
433,42.35,-71.14,D14,Brighton
434,42.3,-71.07,C11,Dorchester
435,42.35,-71.06,A1,Downtown?
436,42.35,-71.08,D4,South End
437,42.34,-71.04,C6,South Boston
438,42.25,-71.12,E18,Hyde Park
439,42.34,-71.14,D14,Brighton
440,42.31,-71.07,C11,Dorchester
441,42.33,-71.1,B2,Roxbury
442,42.29,-71.12,E5,West Roxbury
443,42.27,-71.08,B3,Mattapan
444,42.28,-71.11,E18,Hyde Park
445,42.29,-71.09,,
446,42.32,-71.08,B2,Roxbury
