LOCATIONID,LAT,LON,POLICE_DISTRICT,DISTRICT
2720,42.33,-71.04,C6,South Boston
2721,42.27,-71.1,E18,Hyde Park
2722,42.32,-71.06,C6,South Boston
2723,42.32,-71.09,B2,Roxbury
2724,,,E13,Jamaica Plain
2725,,,A1,Downtown?
2726,42.3,-71.06,C11,Dorchester
2727,42.27,-71.08,B3,Mattapan
2728,42.37,-71.06,A15,Charlestown
2729,42.34,-71.15,D14,Brighton
2730,42.32,-71.11,E13,Jamaica Plain
2731,42.3,-71.06,C11,Dorchester
2732,42.29,-71.11,E18,Hyde Park
2733,42.27,-71.1,B3,Mattapan
2734,42.36,-71.06,A1,Downtown?
2735,42.28,-71.08,B3,Mattapan
2736,42.27,-71.08,B3,Mattapan
2737,42.34,-71.08,D4,South End
2738,42.31,-71.05,C11,Dorchester
2739,42.38,-71.06,A15,Charlestown
2740,42.33,-71.04,C6,South Boston
2741,42.31,-71.11,E13,Jamaica Plain
2742,42.33,-71.1,B2,Roxbury
2743,42.38,-71.03,A7,East Boston
2744,42.29,-71.08,B3,Mattapan
2745,42.29,-71.06,C11,Dorchester
2746,42.36,-71.06,A1,Downtown?
2747,42.29,-71.05,C11,Dorchester
2748,42.38,-71.03,A7,East Boston
2749,42.26,-71.12,E18,Hyde Park
2750,,,A1,Downtown?
2751,42.35,-71.08,D4,South End
2752,42.36,-71.06,A1,Downtown?
2753,42.29,-71.12,E5,West Roxbury
2754,42.33,-71.04,C6,South Boston
2755,42.38,-71.06,A15,Charlestown
2756,42.31,-71.1,E13,Jamaica Plain
2757,42.38,-71.06,A15,Charlestown
2758,42.33,-71.09,B2,Roxbury
2759,42.35,-71.06,A1,Downtown?
2760,42.29,-71.17,E5,West Roxbury
2761,42.33,-71.09,B2,Roxbury
2762,42.33,-71.09,B2,Roxbury
2763,42.33,-71.08,B2,Roxbury
2764,42.35,-71.07,D4,South End
2765,42.3,-71.08,B3,Mattapan
2766,42.33,-71.06,C6,South Boston
2767,42.28,-71.16,E5,West Roxbury
2768,42.31,-71.08,B2,Roxbury
2769,42.29,-71.08,B3,Mattapan
2770,,,C6,South Boston
2771,42.33,-71.03,C6,South Boston
2772,42.28,-71.15,E5,West Roxbury
2773,42.34,-71.1,D4,South End
2774,42.34,-71.16,D14,Brighton
2775,42.34,-71.08,D4,South End
2776,42.35,-71.06,D4,South End
2777,42.25,-71.13,E18,Hyde Park
2778,42.36,-71.05,A1,Downtown?
2779,42.28,-71.16,E5,West Roxbury
2780,42.37,-71.05,A1,Downtown?
2781,42.3,-71.07,C11,Dorchester
2782,42.32,-71.07,B2,Roxbury
2783,42.23,-71.13,E18,Hyde Park
2784,42.35,-71.09,D4,South End
2785,42.29,-71.08,B3,Mattapan
2786,42.34,-71.07,D4,South End
2787,42.31,-71.08,B2,Roxbury
2788,42.24,-71.14,E18,Hyde Park
2789,42.29,-71.09,B3,Mattapan
2790,42.32,-71.06,B2,Roxbury
2791,,,E13,Jamaica Plain
2792,42.3,-71.08,B3,Mattapan
2793,42.33,-71.06,C6,South Boston
2794,42.36,-71.07,A1,Downtown?
2795,42.35,-71.1,D4,South End
2796,42.27,-71.17,E5,West Roxbury
2797,42.32,-71.07,B2,Roxbury
2798,42.26,-71.13,E18,Hyde Park
2799,42.29,-71.09,B3,Mattapan
2800,42.27,-71.14,E5,West Roxbury
2801,,,B3,Mattapan
2802,42.32,-71.07,B2,Roxbury
2803,42.37,-71.06,A1,Downtown?
2804,42.25,-71.12,E18,Hyde Park
2805,42.29,-71.14,E5,West Roxbury
2806,42.34,-71.16,D14,Brighton
2807,42.27,-71.17,E5,West Roxbury
2808,42.33,-71.07,C6,South Boston
2809,42.35,-71.14,D14,Brighton
2810,42.32,-71.06,C6,South Boston
2811,42.35,-71.04,C6,South Boston
2812,,,D4,South End
2813,42.33,-71.08,B2,Roxbury
2814,42.32,-71.07,B2,Roxbury
2815,42.31,-71.08,B2,Roxbury
2816,42.26,-71.11,E18,Hyde Park
2817,42.27,-71.17,E5,West Roxbury
2818,42.3,-71.08,B3,Mattapan
2819,42.3,-71.09,B2,Roxbury
2820,42.3,-71.08,,
2821,42.32,-71.1,E13,Jamaica Plain
2822,42.33,-71.05,C6,South Boston
2823,42.27,-71.14,E5,West Roxbury
2824,42.33,-71.1,B2,Roxbury
2825,42.29,-71.16,E5,West Roxbury
2826,42.29,-71.12,E5,West Roxbury
2827,42.32,-71.08,B2,Roxbury
2828,42.32,-71.08,B2,Roxbury
2829,42.31,-71.06,C11,Dorchester
2830,42.33,-71.1,E13,Jamaica Plain
2831,42.34,-71.15,D14,Brighton
2832,42.37,-71.05,A1,Downtown?
2833,42.34,-71.07,D4,South End
2834,42.29,-71.14,E5,West Roxbury
2835,42.34,-71.08,D4,South End
2836,42.35,-71.08,D4,South End
2837,42.27,-71.13,E18,Hyde Park
2838,42.33,-71.04,C6,South Boston
2839,42.31,-71.11,E13,Jamaica Plain
2840,,,,
2841,42.31,-71.08,B2,Roxbury
2842,42.35,-71.06,A1,Downtown?
2843,42.3,-71.08,B3,Mattapan
2844,42.27,-71.16,E5,West Roxbury
2845,42.32,-71.1,E13,Jamaica Plain
2846,42.38,-71.07,A15,Charlestown
2847,42.27,-71.06,C11,Dorchester
2848,42.29,-71.07,C11,Dorchester
2849,42.38,-71.06,A15,Charlestown
2850,42.31,-71.08,B2,Roxbury
2851,42.35,-71.09,D4,South End
2852,42.34,-71.05,C6,South Boston
2853,42.3,-71.08,B3,Mattapan
2854,42.34,-71.05,C6,South Boston
2855,42.34,-71.1,B2,Roxbury
2856,,,E18,Hyde Park
2857,42.36,-71.06,A1,Downtown?
2858,42.33,-71.07,C6,South Boston
2859,42.32,-71.06,C11,Dorchester
2860,42.27,-71.1,,
2861,42.3,-71.08,B3,Mattapan
2862,42.36,-71.06,A1,Downtown?
2863,42.3,-71.05,C11,Dorchester
2864,42.38,-71.04,A7,East Boston
2865,42.33,-71.1,B2,Roxbury
2866,42.35,-71.1,D4,South End
2867,42.37,-71.04,A7,East Boston
2868,42.3,-71.07,C11,Dorchester
2869,42.33,-71.08,B2,Roxbury
2870,42.31,-71.07,C11,Dorchester
2871,42.31,-71.07,B2,Roxbury
2872,42.35,-71.1,D4,South End
2873,42.32,-71.07,B2,Roxbury
2874,42.3,-71.08,B3,Mattapan
2875,42.33,-71.08,D4,South End
2876,42.29,-71.1,B3,Mattapan
2877,42.34,-71.08,D4,South End
2878,42.26,-71.12,E18,Hyde Park
2879,42.28,-71.09,B3,Mattapan
2880,42.32,-71.07,B2,Roxbury
2881,,,A1,Downtown?
2882,42.3,-71.08,C11,Dorchester
2883,42.32,-71.09,B2,Roxbury
2884,42.35,-71.17,D14,Brighton
2885,,,C11,Dorchester
2886,,,E5,West Roxbury
2887,42.38,-71.04,A7,East Boston
2888,42.31,-71.08,B2,Roxbury
2889,42.34,-71.08,D4,South End
2890,42.32,-71.08,B2,Roxbury
2891,42.28,-71.09,B3,Mattapan
2892,,,D14,Brighton
2893,42.34,-71.08,D4,South End
2894,42.28,-71.1,B3,Mattapan
2895,42.31,-71.11,E13,Jamaica Plain
2896,42.34,-71.07,D4,South End
2897,42.35,-71.14,D14,Brighton
2898,42.25,-71.11,E18,Hyde Park
2899,42.31,-71.06,C11,Dorchester
2900,,,B2,Roxbury
2901,42.34,-71.11,B2,Roxbury
2902,42.33,-71.1,E13,Jamaica Plain
2903,42.34,-71.04,C6,South Boston
2904,42.33,-71.06,C6,South Boston
2905,42.36,-71.06,A1,Downtown?
2906,42.36,-71.05,A1,Downtown?
2907,42.34,-71.08,D4,South End
2908,42.32,-71.08,B2,Roxbury
2909,42.32,-71.09,,
2910,42.32,-71.06,B2,Roxbury
2911,42.31,-71.06,C11,Dorchester
2912,42.35,-71.11,D4,South End
2913,42.29,-71.09,B3,Mattapan
2914,42.31,-71.06,C11,Dorchester
2915,42.35,-71.14,D14,Brighton
2916,42.32,-71.06,C11,Dorchester
2917,42.33,-71.1,B2,Roxbury
2918,42.34,-71.07,D4,South End
2919,42.3,-71.09,B3,Mattapan
2920,42.34,-71.07,D4,South End
2921,42.35,-71.06,A1,Downtown?
2922,42.35,-71.06,A1,Downtown?
2923,42.38,-71.06,A15,Charlestown
2924,42.35,-71.15,D14,Brighton
2925,42.35,-71.14,D14,Brighton
2926,42.32,-71.11,E13,Jamaica Plain
2927,42.36,-71.13,D14,Brighton
2928,42.26,-71.17,E5,West Roxbury
2929,42.35,-71.07,D4,South End
2930,42.35,-71.08,D4,South End
2931,42.29,-71.08,B3,Mattapan
2932,42.37,-71.06,A15,Charlestown
2933,42.3,-71.07,C11,Dorchester
2934,42.28,-71.06,C11,Dorchester
2935,42.27,-71.09,B3,Mattapan
2936,42.25,-71.12,E18,Hyde Park
2937,42.3,-71.16,E5,West Roxbury
2938,42.29,-71.17,E5,West Roxbury
2939,42.32,-71.09,B2,Roxbury
2940,42.36,-71.05,A1,Downtown?
2941,42.32,-71.1,E13,Jamaica Plain
2942,42.28,-71.07,C11,Dorchester
2943,42.36,-71.07,A1,Downtown?
2944,42.29,-71.13,E5,West Roxbury
2945,42.36,-71.05,A1,Downtown?
2946,42.31,-71.09,B2,Roxbury
2947,42.33,-71.07,B2,Roxbury
2948,42.33,-71.08,D4,South End
2949,42.36,-71.06,A1,Downtown?
2950,42.34,-71.08,D4,South End
2951,42.35,-71.09,D4,South End
2952,42.38,-71.04,A7,East Boston
2953,42.27,-71.15,E5,West Roxbury
2954,42.36,-71.06,A1,Downtown?
2955,42.35,-71.15,D14,Brighton
2956,42.34,-71.08,D4,South End
2957,42.28,-71.09,B3,Mattapan
2958,42.29,-71.13,E5,West Roxbury
2959,42.35,-71.13,D14,Brighton
2960,42.31,-71.08,C11,Dorchester
2961,42.34,-71.11,B2,Roxbury
2962,42.31,-71.11,E13,Jamaica Plain
2963,42.3,-71.06,C11,Dorchester
2964,42.32,-71.1,E13,Jamaica Plain
2965,42.38,-71.04,A7,East Boston
2966,42.29,-71.06,C11,Dorchester
2967,42.31,-71.07,B2,Roxbury
2968,42.33,-71.08,,
2969,42.31,-71.07,C11,Dorchester
2970,42.29,-71.12,E5,West Roxbury
2971,42.36,-71.13,D14,Brighton
2972,,,D14,Brighton
2973,42.36,-71.05,A1,Downtown?
2974,42.33,-71.08,B2,Roxbury
2975,42.32,-71.06,C11,Dorchester
2976,42.39,-71.08,A15,Charlestown
2977,42.29,-71.12,E13,Jamaica Plain
2978,42.26,-71.11,E18,Hyde Park
2979,42.29,-71.07,B3,Mattapan
2980,42.36,-71.05,A1,Downtown?
2981,42.27,-71.12,E18,Hyde Park
2982,42.34,-71.15,D14,Brighton
2983,42.3,-71.09,B3,Mattapan
2984,42.38,-71.07,A15,Charlestown
2985,42.38,-71.02,A7,East Boston
2986,42.24,-71.14,E18,Hyde Park
2987,42.29,-71.08,B3,Mattapan
2988,42.34,-71.06,C6,South Boston
2989,42.27,-71.1,B3,Mattapan
2990,42.31,-71.12,E13,Jamaica Plain
2991,42.33,-71.06,C6,South Boston
2992,42.35,-71.16,D14,Brighton
2993,42.34,-71.05,C6,South Boston
2994,42.28,-71.09,B3,Mattapan
2995,-1.0,-1.0,,
2996,42.31,-71.06,C11,Dorchester
2997,42.28,-71.14,E5,West Roxbury
2998,42.28,-71.09,B3,Mattapan
2999,42.38,-71.06,A15,Charlestown
3000,42.32,-71.1,E13,Jamaica Plain
3001,42.35,-71.07,A1,Downtown?
3002,,,D14,Brighton
3003,42.34,-71.08,D4,South End
3004,42.24,-71.13,E18,Hyde Park
3005,42.35,-71.06,A1,Downtown?
3006,42.29,-71.04,C11,Dorchester
3007,42.32,-71.12,E13,Jamaica Plain
3008,42.34,-71.04,C6,South Boston
3009,42.35,-71.16,D14,Brighton
3010,42.31,-71.06,C11,Dorchester
3011,,,C11,Dorchester
3012,42.31,-71.07,C11,Dorchester
3013,42.36,-71.05,A1,Downtown?
3014,42.3,-71.07,C11,Dorchester
3015,42.32,-71.07,B2,Roxbury
3016,42.36,-71.06,A1,Downtown?
3017,42.33,-71.1,B2,Roxbury
3018,42.34,-71.06,C6,South Boston
3019,42.26,-71.13,E18,Hyde Park
3020,42.27,-71.17,E5,West Roxbury
3021,42.37,-71.04,A7,East Boston
3022,,,B3,Mattapan
3023,42.26,-71.12,E18,Hyde Park
3024,42.33,-71.09,B2,Roxbury
3025,42.26,-71.12,E18,Hyde Park
3026,42.3,-71.05,C11,Dorchester
3027,42.31,-71.06,C11,Dorchester
3028,42.28,-71.16,E5,West Roxbury
3029,42.35,-71.15,D14,Brighton
3030,42.34,-71.07,D4,South End
3031,42.33,-71.08,B2,Roxbury
3032,42.35,-71.07,D4,South End
3033,,,C6,South Boston
3034,42.34,-71.05,C6,South Boston
3035,42.36,-71.07,,
3036,42.37,-71.06,A1,Downtown?
3037,42.27,-71.12,E18,Hyde Park
3038,42.3,-71.06,C11,Dorchester
3039,42.33,-71.07,C6,South Boston
3040,42.34,-71.1,D4,South End
3041,42.25,-71.14,E18,Hyde Park
3042,42.37,-71.06,A1,Downtown?
3043,42.31,-71.08,B2,Roxbury
3044,42.34,-71.08,D4,South End
3045,42.32,-71.1,E13,Jamaica Plain
3046,42.35,-71.17,D14,Brighton
3047,42.3,-71.06,C11,Dorchester
3048,42.35,-71.07,D4,South End
3049,42.31,-71.06,C11,Dorchester
3050,42.38,-71.07,A15,Charlestown
3051,42.34,-71.03,C6,South Boston
3052,42.33,-71.08,B2,Roxbury
3053,42.29,-71.12,E18,Hyde Park
3054,42.28,-71.08,B3,Mattapan
3055,42.33,-71.08,B2,Roxbury
3056,42.29,-71.09,B3,Mattapan
3057,42.27,-71.08,B3,Mattapan
3058,42.27,-71.12,E18,Hyde Park
3059,42.31,-71.07,B2,Roxbury
3060,42.35,-71.06,A1,Downtown?
3061,42.36,-71.14,D14,Brighton
3062,42.25,-71.13,E18,Hyde Park
3063,42.35,-71.07,D4,South End
3064,,,B2,Roxbury
3065,42.32,-71.1,E13,Jamaica Plain
3066,42.38,-71.03,A7,East Boston
3067,42.29,-71.05,C11,Dorchester
3068,42.38,-71.06,A15,Charlestown
3069,42.33,-71.08,B2,Roxbury
3070,42.33,-71.05,C6,South Boston
3071,42.33,-71.07,C6,South Boston
3072,42.29,-71.07,C11,Dorchester
3073,42.34,-71.14,D14,Brighton
3074,42.29,-71.14,E5,West Roxbury
3075,42.27,-71.17,E5,West Roxbury
3076,42.34,-71.04,C6,South Boston
3077,42.29,-71.07,B3,Mattapan
3078,42.3,-71.06,C11,Dorchester
3079,42.34,-71.15,D14,Brighton
3080,42.34,-71.06,C6,South Boston
3081,42.35,-71.06,A1,Downtown?
3082,42.24,-71.13,E18,Hyde Park
3083,42.32,-71.09,B2,Roxbury
3084,42.35,-71.08,D4,South End
3085,42.35,-71.17,D14,Brighton
3086,42.31,-71.06,C11,Dorchester
3087,42.25,-71.12,E18,Hyde Park
3088,42.31,-71.06,C11,Dorchester
3089,42.34,-71.1,B2,Roxbury
3090,42.33,-71.11,B2,Roxbury
3091,42.33,-71.09,B2,Roxbury
3092,42.34,-71.08,D4,South End
3093,42.31,-71.1,E13,Jamaica Plain
3094,42.31,-71.11,E13,Jamaica Plain
3095,42.33,-71.1,B2,Roxbury
3096,42.35,-71.04,C6,South Boston
3097,42.31,-71.07,C11,Dorchester
3098,42.35,-71.07,A1,Downtown?
3099,42.37,-71.04,A7,East Boston
3100,,,E5,West Roxbury
3101,,,B2,Roxbury
3102,42.3,-71.07,C11,Dorchester
3103,42.35,-71.13,D14,Brighton
3104,42.35,-71.08,D4,South End
3105,42.35,-71.17,D14,Brighton
3106,42.37,-71.04,A7,East Boston
3107,42.32,-71.09,B2,Roxbury
3108,42.34,-71.06,C6,South Boston
3109,42.29,-71.09,B2,Roxbury
3110,42.34,-71.08,D4,South End
3111,42.32,-71.07,B2,Roxbury
3112,42.35,-71.06,A1,Downtown?
3113,42.33,-71.1,B2,Roxbury
3114,,,B3,Mattapan
3115,42.33,-71.11,B2,Roxbury
3116,42.31,-71.07,C11,Dorchester
3117,42.29,-71.08,B3,Mattapan
3118,,,B2,Roxbury
3119,42.36,-71.05,A1,Downtown?
3120,42.36,-71.15,D14,Brighton
3121,42.32,-71.06,C11,Dorchester
3122,42.34,-71.08,D4,South End
3123,42.33,-71.07,C6,South Boston
3124,42.34,-71.09,D4,South End
3125,42.28,-71.18,E5,West Roxbury
3126,,,E18,Hyde Park
3127,42.33,-71.11,B2,Roxbury
3128,42.33,-71.08,B2,Roxbury
3129,42.28,-71.07,C11,Dorchester
3130,42.33,-71.07,B2,Roxbury
3131,42.31,-71.1,B2,Roxbury
3132,42.29,-71.06,C11,Dorchester
3133,42.36,-71.06,A1,Downtown?
3134,42.32,-71.08,B2,Roxbury
3135,42.26,-71.11,E18,Hyde Park
3136,42.33,-71.08,B2,Roxbury
3137,42.36,-71.07,D4,South End
3138,42.3,-71.08,B3,Mattapan
3139,42.34,-71.05,C6,South Boston
3140,42.28,-71.08,B3,Mattapan
3141,42.26,-71.12,E18,Hyde Park
3142,42.36,-71.13,D14,Brighton
3143,42.32,-71.08,B2,Roxbury
3144,42.33,-71.11,B2,Roxbury
3145,42.35,-71.13,D14,Brighton
3146,42.38,-71.06,A15,Charlestown
3147,42.33,-71.09,B2,Roxbury
3148,42.27,-71.06,C11,Dorchester
3149,42.27,-71.09,B3,Mattapan
3150,42.34,-71.05,C6,South Boston
3151,42.3,-71.06,C11,Dorchester
3152,42.29,-71.08,B3,Mattapan
3153,42.36,-71.05,A1,Downtown?
3154,42.34,-71.06,D4,South End
3155,42.27,-71.11,E18,Hyde Park
3156,42.36,-71.07,A1,Downtown?
3157,42.3,-71.14,E13,Jamaica Plain
3158,42.31,-71.08,B2,Roxbury
3159,42.27,-71.1,E18,Hyde Park
3160,42.27,-71.11,E18,Hyde Park
3161,42.34,-71.14,D14,Brighton
3162,42.28,-71.12,E5,West Roxbury
3163,42.29,-71.08,B3,Mattapan
3164,42.27,-71.07,B3,Mattapan
3165,42.35,-71.13,D14,Brighton
3166,42.36,-71.06,A1,Downtown?
3167,42.3,-71.06,C11,Dorchester
3168,42.28,-71.13,E5,West Roxbury
3169,42.33,-71.07,B2,Roxbury
3170,42.3,-71.08,B3,Mattapan
3171,42.36,-71.07,A1,Downtown?
3172,42.3,-71.07,C11,Dorchester
3173,-1.0,-1.0,,
3174,42.34,-71.07,D4,South End
3175,42.28,-71.14,E5,West Roxbury
3176,42.38,-71.03,A7,East Boston
3177,42.36,-71.06,A1,Downtown?
3178,42.33,-71.03,C6,South Boston
3179,42.34,-71.03,C6,South Boston
3180,42.31,-71.13,E13,Jamaica Plain
3181,42.32,-71.07,B2,Roxbury
3182,42.28,-71.09,B3,Mattapan
3183,42.34,-71.15,D14,Brighton
3184,42.29,-71.08,B3,Mattapan
3185,42.36,-71.06,A1,Downtown?
3186,42.29,-71.08,B3,Mattapan
3187,42.29,-71.05,C11,Dorchester
3188,42.36,-71.05,A1,Downtown?
3189,42.25,-71.13,E18,Hyde Park
3190,42.36,-71.05,A1,Downtown?
3191,42.31,-71.08,B2,Roxbury
3192,42.32,-71.07,B2,Roxbury
3193,42.32,-71.06,C11,Dorchester
3194,42.37,-71.04,A7,East Boston
3195,42.32,-71.11,E13,Jamaica Plain
3196,42.28,-71.16,E5,West Roxbury
3197,42.34,-71.04,C6,South Boston
3198,42.33,-71.05,C6,South Boston
3199,42.25,-71.13,E18,Hyde Park
3200,42.32,-71.06,C6,South Boston
3201,42.31,-71.05,C11,Dorchester
3202,42.36,-71.06,A1,Downtown?
3203,42.26,-71.12,E18,Hyde Park
3204,42.33,-71.11,B2,Roxbury
3205,42.34,-71.1,D4,South End
3206,42.29,-71.06,C11,Dorchester
3207,42.32,-71.11,E13,Jamaica Plain
3208,42.33,-71.03,C6,South Boston
3209,42.26,-71.12,E18,Hyde Park
3210,42.36,-71.13,D14,Brighton
3211,42.29,-71.06,C11,Dorchester
3212,42.34,-71.08,D4,South End
3213,42.36,-71.06,A1,Downtown?
3214,42.34,-71.08,D4,South End
3215,42.26,-71.12,E18,Hyde Park
3216,42.35,-71.07,A1,Downtown?
3217,42.33,-71.05,C6,South Boston
3218,42.27,-71.17,E5,West Roxbury
3219,42.34,-71.07,D4,South End
3220,42.24,-71.12,E18,Hyde Park
3221,42.31,-71.05,C11,Dorchester
3222,42.33,-71.08,B2,Roxbury
3223,42.33,-71.09,B2,Roxbury
3224,,,D14,Brighton
3225,42.28,-71.07,B3,Mattapan
3226,42.29,-71.06,C11,Dorchester
3227,42.35,-71.07,D4,South End
3228,42.34,-71.05,C6,South Boston
3229,42.34,-71.14,D14,Brighton
3230,42.31,-71.06,C11,Dorchester
3231,42.32,-71.08,B2,Roxbury
3232,42.29,-71.07,C11,Dorchester
3233,42.29,-71.08,B3,Mattapan
3234,42.27,-71.17,E5,West Roxbury
3235,,,A7,East Boston
3236,42.33,-71.1,B2,Roxbury
3237,42.35,-71.07,A1,Downtown?
3238,42.26,-71.1,E18,Hyde Park
3239,42.36,-71.07,A1,Downtown?
3240,42.32,-71.11,E13,Jamaica Plain
3241,42.26,-71.12,E18,Hyde Park
3242,42.31,-71.1,E13,Jamaica Plain
3243,,,E13,Jamaica Plain
3244,42.32,-71.09,B2,Roxbury
3245,42.29,-71.08,B3,Mattapan
3246,42.36,-71.14,D14,Brighton
3247,42.24,-71.12,E18,Hyde Park
3248,42.29,-71.05,C11,Dorchester
3249,42.3,-71.08,B3,Mattapan
3250,42.26,-71.11,E18,Hyde Park
3251,42.35,-71.07,D4,South End
3252,42.32,-71.06,B2,Roxbury
3253,42.36,-71.05,A1,Downtown?
3254,42.33,-71.11,,
3255,42.34,-71.03,C6,South Boston
3256,42.27,-71.13,E18,Hyde Park
3257,42.34,-71.09,D4,South End
3258,42.38,-71.05,A15,Charlestown
3259,42.3,-71.06,C11,Dorchester
3260,42.31,-71.13,E13,Jamaica Plain
3261,42.28,-71.12,E18,Hyde Park
3262,42.28,-71.13,E5,West Roxbury
3263,42.35,-71.06,A1,Downtown?
3264,42.27,-71.11,E18,Hyde Park
3265,42.34,-71.06,C6,South Boston
3266,42.33,-71.1,B2,Roxbury
3267,42.27,-71.13,E18,Hyde Park
3268,42.33,-71.07,B2,Roxbury
3269,42.3,-71.06,C11,Dorchester
3270,42.31,-71.07,C11,Dorchester
3271,,,E13,Jamaica Plain
3272,42.26,-71.15,E5,West Roxbury
3273,42.31,-71.07,C11,Dorchester
3274,42.35,-71.13,D14,Brighton
3275,42.35,-71.07,D4,South End
3276,42.36,-71.07,A1,Downtown?
3277,42.33,-71.1,B2,Roxbury
3278,,,D4,South End
3279,42.36,-71.15,D14,Brighton
3280,42.34,-71.07,D4,South End
3281,42.29,-71.05,C11,Dorchester
3282,-1.0,-1.0,,
3283,42.31,-71.1,E13,Jamaica Plain
3284,42.34,-71.08,D4,South End
3285,42.35,-71.14,D14,Brighton
3286,42.3,-71.11,E13,Jamaica Plain
3287,42.28,-71.08,B3,Mattapan
3288,42.31,-71.06,C11,Dorchester
3289,42.3,-71.06,C11,Dorchester
3290,42.38,-71.04,A7,East Boston
3291,42.24,-71.12,E18,Hyde Park
3292,42.36,-71.13,D14,Brighton
3293,42.32,-71.1,B2,Roxbury
3294,42.35,-71.05,C6,South Boston
3295,-1.0,-1.0,,
3296,42.33,-71.05,C6,South Boston
3297,42.29,-71.17,E5,West Roxbury
3298,42.28,-71.08,B3,Mattapan
3299,42.27,-71.11,E18,Hyde Park
3300,,,A1,Downtown?
3301,42.32,-71.08,B2,Roxbury
3302,42.34,-71.03,C6,South Boston
3303,42.31,-71.06,C11,Dorchester
3304,42.29,-71.09,B3,Mattapan
3305,42.31,-71.08,B2,Roxbury
3306,42.32,-71.07,B2,Roxbury
3307,42.35,-71.15,D14,Brighton
3308,42.27,-71.1,B3,Mattapan
3309,42.34,-71.08,D4,South End
3310,42.29,-71.12,E5,West Roxbury
3311,42.32,-71.08,B2,Roxbury
3312,42.35,-71.13,D14,Brighton
3313,42.36,-71.14,D14,Brighton
3314,42.38,-71.06,A15,Charlestown
3315,42.25,-71.13,E18,Hyde Park
3316,42.35,-71.08,D4,South End
3317,42.29,-71.07,B3,Mattapan
3318,42.3,-71.11,E13,Jamaica Plain
3319,42.35,-71.05,C6,South Boston
3320,42.29,-71.06,C11,Dorchester
3321,42.31,-71.08,B2,Roxbury
3322,42.33,-71.08,B2,Roxbury
3323,42.35,-71.06,A1,Downtown?
3324,42.37,-71.04,A7,East Boston
3325,42.35,-71.1,D4,South End
3326,42.33,-71.07,B2,Roxbury
3327,42.26,-71.1,E18,Hyde Park
3328,42.35,-71.07,D4,South End
3329,42.33,-71.03,C6,South Boston
3330,42.34,-71.04,C6,South Boston
3331,42.33,-71.09,B2,Roxbury
3332,42.31,-71.06,C11,Dorchester
3333,42.29,-71.07,C11,Dorchester
3334,42.35,-71.06,A1,Downtown?
3335,42.33,-71.07,B2,Roxbury
3336,42.32,-71.06,C11,Dorchester
3337,42.34,-71.04,C6,South Boston
3338,42.26,-71.13,E18,Hyde Park
3339,42.34,-71.05,C6,South Boston
3340,42.33,-71.04,C6,South Boston
3341,42.35,-71.07,D4,South End
3342,42.38,-71.04,A7,East Boston
3343,42.38,-71.06,A15,Charlestown
3344,42.27,-71.1,B3,Mattapan
3345,42.39,-71.0,A7,East Boston
3346,42.35,-71.06,A1,Downtown?
3347,42.32,-71.09,E13,Jamaica Plain
3348,42.26,-71.12,E18,Hyde Park
3349,42.35,-71.06,A1,Downtown?
3350,42.29,-71.15,E5,West Roxbury
3351,42.28,-71.08,B3,Mattapan
3352,42.35,-71.09,D4,South End
3353,42.31,-71.13,E13,Jamaica Plain
3354,42.34,-71.08,D4,South End
3355,42.32,-71.08,B2,Roxbury
3356,-1.0,-1.0,,
3357,42.29,-71.13,E5,West Roxbury
3358,42.33,-71.05,C6,South Boston
3359,42.31,-71.07,C11,Dorchester
3360,42.31,-71.06,C11,Dorchester
3361,42.35,-71.15,D14,Brighton
3362,42.36,-71.06,A1,Downtown?
3363,42.31,-71.09,B2,Roxbury
3364,42.28,-71.08,B3,Mattapan
3365,42.3,-71.08,B3,Mattapan
3366,42.25,-71.12,E18,Hyde Park
3367,42.31,-71.1,E13,Jamaica Plain
3368,42.29,-71.07,C11,Dorchester
3369,42.35,-71.16,D14,Brighton
3370,42.34,-71.03,C6,South Boston
3371,42.28,-71.14,E5,West Roxbury
3372,42.31,-71.09,B2,Roxbury
3373,42.29,-71.07,B3,Mattapan
3374,42.24,-71.12,E18,Hyde Park
3375,42.25,-71.13,E18,Hyde Park
3376,42.33,-71.05,C6,South Boston
3377,42.24,-71.14,E18,Hyde Park
3378,,,E5,West Roxbury
3379,42.29,-71.16,E5,West Roxbury
3380,42.28,-71.14,E5,West Roxbury
3381,42.34,-71.06,C6,South Boston
3382,42.35,-71.08,D4,South End
3383,42.34,-71.08,D4,South End
3384,42.33,-71.11,B2,Roxbury
3385,42.28,-71.1,B3,Mattapan
3386,42.33,-71.05,C6,South Boston
3387,42.33,-71.07,D4,South End
3388,42.35,-71.09,D4,South End
3389,42.3,-71.07,C11,Dorchester
3390,42.36,-71.06,A1,Downtown?
3391,42.33,-71.1,B2,Roxbury
3392,42.27,-71.09,B3,Mattapan
3393,42.34,-71.04,C6,South Boston
3394,42.34,-71.07,D4,South End
3395,42.34,-71.08,D4,South End
3396,42.37,-71.06,A1,Downtown?
3397,42.35,-71.13,D14,Brighton
3398,42.38,-71.03,A7,East Boston
3399,,,E5,West Roxbury
3400,42.26,-71.16,E5,West Roxbury
3401,42.3,-71.06,C11,Dorchester
3402,42.26,-71.12,E18,Hyde Park
3403,42.38,-71.04,A7,East Boston
3404,42.38,-71.04,A7,East Boston
