LOCATIONID,STREET,LAT,LON,POLICE_DISTRICT,DISTRICT
106,DORCHESTER AVE,42.29328831,-71.06219497,C11,Dorchester
107,ARCHDALE RD,42.29277202,-71.12138967,E5,West Roxbury
108,CHAMPNEY ST,42.3524123,-71.16878833,D14,Brighton
109,BLUE HILL AVE,42.29216506,-71.08896989,B3,Mattapan
110,HIGH ST,42.37604137,-71.06211228,A15,Charlestown
111,LAWRENCE AVE,42.31161123,-71.076256,B2,Roxbury
112,BEAUFORD LN,42.31620533,-71.07609249,B2,Roxbury
114,WASHINGTON ST,42.29131613,-71.07170293,C11,Dorchester
115,SPEEDWELL ST,42.30406722,-71.06760042,C11,Dorchester
116,BEVERLY ST,42.36658726,-71.06019881,A1,Downtown
117,LYNDHURST ST,42.29290563,-71.06955795,C11,Dorchester
118,COLUMBIA RD,42.31363409,-71.06778025,C11,Dorchester
119,WESTVILLE TER,42.30098009,-71.06869928,C11,Dorchester
120,BOYLSTON ST,42.35095909,-71.0741278,D4,South End
121,MILK ST,42.35822966,-71.05362239,A1,Downtown
122,TOWNSEND ST,42.3191711,-71.09192415,B2,Roxbury
123,NAVARRE ST,42.27758926,-71.11755202,E18,Hyde Park
124,ATLANTIC AVE,42.357875,-71.051329,A1,Downtown
125,FULLER ST,42.28202294,-71.07125917,C11,Dorchester
126,WHITTIER ST,42.33380238,-71.08880867,B2,Roxbury
127,TREMONT ST,42.33402461,-71.09039049,B2,Roxbury
128,GREENWOOD AVE,42.26597955,-71.1217959,E18,Hyde Park
129,RIVER ST,42.26361745,-71.10237387,E18,Hyde Park
130,ASPINWALL RD,42.29125586,-71.07475092,B3,Mattapan
131,HUNTINGTON AVE,42.3375009,-71.09583094,B2,Roxbury
132,WHEATLEY WAY,42.32935767,-71.07974589,B2,Roxbury
133,ADAMS ST,42.27230624,-71.06721386,C11,Dorchester
134,GREYLOCK RD,42.35042708,-71.13496065,D14,Brighton
135,W BROADWAY,42.33793018,-71.04947397,C6,South Boston
136,HARRISON AVE,42.33954199,-71.06940877,D4,South End
137,TOPLIFF ST,42.30375506,-71.06839375,C11,Dorchester
138,NEWBURY ST,42.34840576,-71.08688339,D4,South End
139,PEACEABLE ST,42.34793886,-71.15229604,D14,Brighton
140,ALBANY ST,42.34255919,-71.06270824,D4,South End
141,COMMONWEALTH AVE,42.34880461,-71.09392554,D4,South End
142,BEACON ST,42.35393998,-71.07802992,D4,South End
143,RUGGLES ST,42.33445761,-71.088061,B2,Roxbury
144,NORFOLK ST,42.28996858,-71.0723254,B3,Mattapan
145,GARFIELD AVE,42.24235156,-71.12079258,E18,Hyde Park
146,HUCKINS ST,42.32368852,-71.07519735,B2,Roxbury
147,GREENWOOD ST,42.29716347,-71.07954018,B3,Mattapan
148,CAMBRIDGE ST,42.38356867,-71.0753672,A15,Charlestown
149,MASCOT ST,42.28633596,-71.08500149,B3,Mattapan
150,ARLINGTON ST,42.35061995,-71.07009458,A1,Downtown
151,ARBORWAY,42.3056348,-71.11982238,E13,Jamaica Plain
152,HARVARD ST,42.34993442,-71.06230334,A1,Downtown
153,FAIRLAWN AVE,42.26788791,-71.10067012,E18,Hyde Park
154,BULLARD ST,42.3021878,-71.07365004,C11,Dorchester
155,PORTSMOUTH ST,42.36053257,-71.14426332,D14,Brighton
156,NORWELL ST,42.29828416,-71.07869447,B3,Mattapan
157,HUNTINGTON AVE,42.3420185,-71.08566213,D4,South End
158,WOODHAVEN ST,42.27105479,-71.09753898,B3,Mattapan
159,TREMONT ST,42.35428377,-71.06380404,A1,Downtown
160,BOYLSTON ST,42.34710196,-71.08841746,D4,South End
161,FAYETTE ST,42.34943694,-71.06650735,A1,Downtown
162,TREMONT ST,42.34942864,-71.06536641,A1,Downtown
163,BEACON ST,42.253372,-71.11654302,E18,Hyde Park
164,WHITBY TER,42.3143418,-71.06050395,C11,Dorchester
165,WAVERLY ST,42.32037671,-71.07903447,B2,Roxbury
166,WASHINGTON ST,42.35042609,-71.16637332,D14,Brighton
168,LYNNVILLE TER,42.30256638,-71.0782904,B3,Mattapan
169,EUSTIS ST,42.33166164,-71.08147827,B2,Roxbury
170,FANEUIL HALL MARKETPLACE,42.35997967,-71.05474135,A1,Downtown
171,BOWDOIN AVE,42.30234412,-71.0763037,C11,Dorchester
172,AMERICAN LEGION HWY,42.28929101,-71.10358494,E13,Jamaica Plain
174,SUMNER ST,42.36865862,-71.03924873,A7,East Boston
175,SHAWMUT AVE,42.33953776,-71.07472432,D4,South End
176,TALBOT AVE,42.28935481,-71.06767297,C11,Dorchester
177,DAWSON ST,42.28984188,-71.05843518,C11,Dorchester
178,DITSON ST,42.30108481,-71.06390782,C11,Dorchester
179,SHAWMUT AVE,42.34107714,-71.0723957,D4,South End
180,GORDON ST,42.35293536,-71.14050052,D14,Brighton
181,BURT ST,42.28413536,-71.06957385,C11,Dorchester
182,COLUMBUS AVE,42.34944475,-71.07072461,A1,Downtown
183,JERSEY ST,42.34412622,-71.09760878,D4,South End
184,DORCHESTER AVE,42.30782846,-71.05837474,C11,Dorchester
185,ALLSTATE RD,42.32809966,-71.06321676,C6,South Boston
186,TAFT ST,42.3173029,-71.05793388,C11,Dorchester
187,COMMONWEALTH AVE,42.34877575,-71.09606805,D4,South End
