LOCATIONID,STREET,LAT,LON,POLICE_DISTRICT,DISTRICT
2345,COLUMBIA RD,,,B2,Roxbury
2346,KINGSDALE ST,42.29,-71.08,B3,Mattapan
2347,RUTLAND SQ,42.34,-71.08,D4,South End
2348,COTTAGE ST,42.37,-71.03,A7,East Boston
2349,NORFOLK ST,42.28,-71.09,B3,Mattapan
2350,BRAINTREE ST,42.36,-71.14,D14,Brighton
2351,BOWDOIN ST,42.3,-71.07,C11,Dorchester
2352,BEAUFIELD ST,42.28,-71.06,C11,Dorchester
2353,WEBSTER ST,42.36,-71.03,A7,East Boston
2354,WALNUT,-1,-1,,
2355,TEMPLE PL,,,A1,Downtown?
2356,KELLEY CT,42.36,-71.14,D14,Brighton
2357,PLEASANT ST,42.31,-71.06,C11,Dorchester
2358,JULIAN ST,42.32,-71.08,B2,Roxbury
2359,W DEDHAM ST,,,D4,South End
2360,BREED ST,42.39,-71.01,A7,East Boston
2361,DUNREATH ST,42.32,-71.08,B2,Roxbury
2362,DUDLEY ST,42.33,-71.09,B2,Roxbury
2363,BURBANK ST,42.34,-71.09,D4,South End
2364,RIVERSIDE SQ,42.26,-71.11,E18,Hyde Park
2365,DWIGHT ST,42.34,-71.07,D4,South End
2366,5 BEACON ST,,,A1,Downtown?
2367,HARRISHOF ST,42.32,-71.09,B2,Roxbury
2368,BROOKS ST,42.38,-71.04,A7,East Boston
2369,TRUMAN PKWY,42.24,-71.13,E18,Hyde Park
2370,HARRISON AVE,42.34,-71.07,D4,South End
2371,WASHINGTON ST,42.28,-71.14,E5,West Roxbury
2372,STANHOPE ST,42.35,-71.07,D4,South End
2373,HEMENWAY ST,42.34,-71.09,D4,South End
2374,MASSACHUSETTS AVE,42.34,-71.08,D4,South End
2375,TREMONT ST,42.34,-71.07,D4,South End
2376,BROOKSIDE AVE,42.31,-71.11,E13,Jamaica Plain
2377,SAVIN ST,42.32,-71.08,B2,Roxbury
2378,LEXINGTON ST,42.38,-71.04,A7,East Boston
2379,COREY ST,42.38,-71.06,A15,Charlestown
2380,HASTINGS ST,42.29,-71.16,E5,West Roxbury
2381,HYDE PARK AVE,42.27,-71.12,E18,Hyde Park
2382,WASHINGTON ST,42.25,-71.12,E18,Hyde Park
2383,WREN ST,42.28,-71.15,E5,West Roxbury
2384,CHARLES ST,,,A1,Downtown?
2385,FULLER ST,42.28,-71.07,C11,Dorchester
2386,CAMBRIDGE ST,42.36,-71.07,A1,Downtown?
2387,WILDWOOD ST,42.28,-71.09,B3,Mattapan
2388,GENERAL LAWRENCE J LOGAN ,42.33,-71.06,C6,South Boston
2389,ALBION ST,42.32,-71.07,B2,Roxbury
2390,GENERAL WILLIAM H DEVINE ,,,C6,South Boston
2391,MIDDLE ST,42.33,-71.06,C6,South Boston
2392,SARATOGA ST,42.38,-71,A7,East Boston
2393,LAKE SHORE RD,42.34,-71.17,D14,Brighton
2394,TREMONT ST,42.34,-71.08,D4,South End
2395,FEDERAL ST,42.36,-71.06,A1,Downtown?
2396,BAKER ST,42.28,-71.17,E5,West Roxbury
2397,E EAGLE ST,42.38,-71.03,A7,East Boston
2398,DAVISON ST,42.26,-71.12,E18,Hyde Park
2399,SAINT BOTOLPH ST,42.34,-71.08,D4,South End
2400,CHESTNUT ST,42.38,-71.06,A1,Downtown?
2401,,42.33,-71.08,,
2402,COLUMBUS AVE,42.34,-71.08,D4,South End
2403,W SELDEN ST,42.28,-71.09,B3,Mattapan
2404,FULLER ST,42.28,-71.07,C11,Dorchester
2405,TERRACE ST,42.33,-71.1,B2,Roxbury
2406,CENTER PLZ,42.36,-71.06,A1,Downtown?
2407,CUMBERLAND ST,42.34,-71.08,D4,South End
2408,DORCHESTER AVE,42.3,-71.06,C11,Dorchester
2409,WRENTHAM ST,42.29,-71.06,C11,Dorchester
2410,E ST,42.34,-71.05,C6,South Boston
2411,SOUTHERN AVE,42.29,-71.07,B3,Mattapan
2412,NORTHERN AVE,42.35,-71.04,C6,South Boston
2413,ISLAND VIEW PL,42.32,-71.04,C6,South Boston
2414,COMMONWEALTH AVE,42.35,-71.12,D14,Brighton
2415,ALBANY ST,42.34,-71.07,D4,South End
2416,SILVER ST,42.34,-71.05,C6,South Boston
2417,VFW PKWY,42.27,-71.17,E5,West Roxbury
2418,CENTRE ST,42.31,-71.11,E13,Jamaica Plain
2419,HARVARD ST,42.29,-71.09,B3,Mattapan
2420,BARRY ST,42.31,-71.07,C11,Dorchester
2421,RANELEGH RD,42.36,-71.16,D14,Brighton
2422,,42.35,-71.07,,
2423,ATKINSON ST,42.33,-71.07,C6,South Boston
2424,LAMSON ST,42.37,-71.03,A7,East Boston
2425,NEW CHARDON ST,42.36,-71.06,A1,Downtown?
2426,CENTRE ST,42.31,-71.11,E13,Jamaica Plain
2427,DORCHESTER AVE,42.32,-71.06,C11,Dorchester
2428,BRINTON ST,42.32,-71.09,B2,Roxbury
2429,LEVANT ST,42.3,-71.07,C11,Dorchester
2430,BANTON ST,42.29,-71.06,C11,Dorchester
2431,DONWOOD TER,42.27,-71.09,B3,Mattapan
2432,CAMBRIDGE ST,42.36,-71.07,A1,Downtown?
2433,CHESTNUT AVE,42.32,-71.11,E13,Jamaica Plain
2434,BENNINGTON ST,,,A7,East Boston
2435,LEICESTER ST,42.35,-71.15,D14,Brighton
2436,COLUMBIA RD,42.33,-71.05,C6,South Boston
2437,GRAMPIAN WAY,42.31,-71.05,C11,Dorchester
2438,FRANKLIN PARK RD,42.3,-71.09,B2,Roxbury
2439,FLOYD ST,42.29,-71.09,B3,Mattapan
2440,W NEWTON ST,42.34,-71.08,D4,South End
2441,COMMONWEALTH AVE,42.35,-71.13,D14,Brighton
2442,SAINT BOTOLPH ST,,,D4,South End
2443,WASHINGTON ST,42.28,-71.14,E5,West Roxbury
2444,SOUTHAMPTON ST,42.33,-71.07,C6,South Boston
2445,MAPLE ST,42.29,-71.16,E5,West Roxbury
2446,NORFOLK ST,42.28,-71.08,B3,Mattapan
2447,CALUMET ST,42.33,-71.1,B2,Roxbury
2448,TREMONT ST,42.34,-71.08,D4,South End
2449,COLUMBIA RD,42.3,-71.08,B2,Roxbury
2450,SAINT BOTOLPH ST,42.35,-71.08,D4,South End
2451,HERALD ST,42.35,-71.07,D4,South End
2452,E EIGHTH ST,42.33,-71.05,C6,South Boston
2453,CHARLES ST S,42.35,-71.07,A1,Downtown?
2454,BEACON ST,42.35,-71.09,D4,South End
2455,E SIXTH ST,42.33,-71.03,C6,South Boston
2456,GEORGETOWNE DR,42.26,-71.15,E5,West Roxbury
2457,,42.33,-71.08,,
2458,HAZELWOOD CT,42.32,-71.08,B2,Roxbury
2459,CHURCH ST,42.35,-71.07,A1,Downtown?
2460,CAMBRIDGE ST,42.36,-71.06,A1,Downtown?
2461,GENEVA AVE,42.3,-71.07,C11,Dorchester
2462,LEGACY PL,,,E18,Hyde Park
2463,ANTWERP ST,42.36,-71.14,D14,Brighton
2464,PARK ST,42.3,-71.06,C11,Dorchester
2465,THOMAS PARK,42.33,-71.04,C6,South Boston
2466,SAINT BOTOLPH ST,42.34,-71.08,D4,South End
2467,LYFORD ST,42.29,-71.08,B3,Mattapan
2468,ANNUNCIATION RD,42.34,-71.09,B2,Roxbury
2469,BEECH GLEN ST,42.32,-71.1,B2,Roxbury
2470,LAURIAT ST,42.29,-71.08,B3,Mattapan
2471,PARKER,-1,-1,,
2472,LANGDON ST,42.33,-71.07,B2,Roxbury
2473,COLUMBUS AVE,42.34,-71.08,D4,South End
2474,CENTRE ST,42.32,-71.1,E13,Jamaica Plain
2475,CUMMINS HWY,42.27,-71.11,E18,Hyde Park
2476,COMMONWEALTH AVE,42.35,-71.09,D4,South End
2477,WARREN SQ,42.31,-71.11,E13,Jamaica Plain
2478,TOPLIFF ST,42.3,-71.07,C11,Dorchester
2479,TREMONT ST,42.34,-71.07,D4,South End
2480,BALLOU AVE,42.29,-71.08,B3,Mattapan
2481,CARNEY CT,42.38,-71.06,A15,Charlestown
2482,WASHINGTON ST,42.35,-71.06,A1,Downtown?
2483,PRENTISS ST,42.33,-71.09,B2,Roxbury
2484,MACKIN ST,42.36,-71.14,D14,Brighton
2485,HEATH ST,42.33,-71.11,E13,Jamaica Plain
2486,WORCESTER ST,42.34,-71.08,D4,South End
2487,ATLANTIC AVE,42.35,-71.05,A1,Downtown?
2488,CORNELIA CT,,,B2,Roxbury
2489,BOYLSTON ST,42.32,-71.1,E13,Jamaica Plain
2490,GARDEN COURT ST,42.36,-71.05,A1,Downtown?
2491,CLEARWAY ST,42.35,-71.09,D4,South End
2492,STATE ST,42.36,-71.06,A1,Downtown?
2493,ARCH ST,,,A1,Downtown?
2494,CENTRAL SQ,42.37,-71.04,A7,East Boston
2495,INTERVALE ST,42.31,-71.08,B2,Roxbury
2496,ALLERTON ST,42.33,-71.07,B2,Roxbury
2497,FLORIDA ST,42.29,-71.06,C11,Dorchester
2498,ALLERTON ST,42.33,-71.07,B2,Roxbury
2499,SCHOOL ST,42.36,-71.06,A1,Downtown?
2500,WESTVILLE ST,42.3,-71.07,C11,Dorchester
2501,EVERETT ST,42.26,-71.12,E18,Hyde Park
2502,FRONTAGE RD,42.34,-71.06,C6,South Boston
2503,WASHINGTON ST,42.29,-71.13,E5,West Roxbury
2504,BEECH ST,42.28,-71.14,E5,West Roxbury
2505,GENERAL LAWRENCE J LOGAN ,42.33,-71.06,C6,South Boston
2506,CHURCH ST,42.35,-71.07,A1,Downtown?
2507,MELVILLE AVE,42.3,-71.06,C11,Dorchester
2508,WASHINGTON ST,42.35,-71.16,D14,Brighton
2509,MASSACHUSETTS AVE,42.35,-71.09,D4,South End
2510,BROOKLINE AVE,42.35,-71.1,D4,South End
2511,NORWAY ST,42.35,-71.09,D4,South End
2512,INWOOD ST,42.31,-71.07,C11,Dorchester
2513,ALFORD ST,,,A15,Charlestown
2514,CENTRE ST,42.26,-71.16,E5,West Roxbury
2515,HIGHLAND ST,42.32,-71.1,B2,Roxbury
2516,,42.31,-71.08,,
2517,LONGWOOD AVE,42.34,-71.1,B2,Roxbury
2518,DAKOTA ST,42.3,-71.07,C11,Dorchester
2519,BROOKSIDE AVE,42.31,-71.1,E13,Jamaica Plain
2520,COLUMBUS AVE,42.34,-71.08,D4,South End
2521,SCHOOL ST,,,A1,Downtown?
2522,LYNDHURST ST,42.29,-71.07,C11,Dorchester
2523,WASHINGTON ST,42.37,-71.06,A15,Charlestown
2524,WASHINGTON ST,42.35,-71.16,D14,Brighton
2525,COMMONWEALTH AVE,42.35,-71.08,D4,South End
2526,E EIGHTH ST,42.33,-71.04,C6,South Boston
2527,HAMMOND ST,42.34,-71.08,D4,South End
2528,WINTER PL,,,A1,Downtown?
2529,ALAMEDA RD,42.29,-71.15,E5,West Roxbury
2530,AMORY ST,42.32,-71.1,E13,Jamaica Plain
2531,CANTERBURY ST,42.28,-71.11,E18,Hyde Park
2532,SOUTHAMPTON ST,42.33,-71.06,C6,South Boston
2533,HEMENWAY ST,42.34,-71.09,D4,South End
2534,SARATOGA ST,42.39,-71.01,A7,East Boston
2535,MERIDIAN ST,42.38,-71.04,A7,East Boston
2536,CULBERT ST,42.27,-71.09,B3,Mattapan
2537,BENNINGTON ST,42.39,-71.01,A7,East Boston
2538,RIVER ST,42.25,-71.13,E18,Hyde Park
2539,MASSACHUSETTS AVE,42.34,-71.08,D4,South End
2540,SOUTH ST,42.29,-71.13,E5,West Roxbury
2541,PIER 4 BLVD,-1,-1,C6,South Boston
2542,GLENROSE RD,42.29,-71.06,C11,Dorchester
2543,DUDLEY ST,42.33,-71.09,B2,Roxbury
2544,CEDAR ST,42.38,-71.06,A15,Charlestown
2545,B ST,42.34,-71.05,C6,South Boston
2546,BROOKS ST,42.36,-71.16,D14,Brighton
2547,ALDRICH ST,42.29,-71.14,E5,West Roxbury
2548,NORFOLK ST,42.29,-71.07,B3,Mattapan
2549,METCALF CT,42.31,-71.12,E13,Jamaica Plain
2550,LENINSTON,,,,
2551,FAIRVIEW AVE,42.25,-71.14,E18,Hyde Park
2552,NORTH ST,42.37,-71.05,A1,Downtown?
2553,BRADLEE ST,42.3,-71.07,B3,Mattapan
2554,GERARD ST,42.33,-71.07,B2,Roxbury
2555,FAYWOOD AVE,42.39,-71.01,A7,East Boston
2556,CHARLES ST,42.36,-71.07,A1,Downtown?
2557,HUMPHREYS ST,42.32,-71.07,B2,Roxbury
2558,HAMILTON ST,42.31,-71.07,C11,Dorchester
2559,OAK ST W,42.35,-71.06,A1,Downtown?
2560,BLUE HILL AVE,42.3,-71.09,B3,Mattapan
2561,RUSKINDALE RD,42.27,-71.11,E18,Hyde Park
2562,COLUMBUS AVE,42.32,-71.1,E13,Jamaica Plain
2563,WASHINGTON ST,42.26,-71.16,E5,West Roxbury
2564,WALNUT AVE,42.32,-71.09,B2,Roxbury
2565,RIVER ST,42.26,-71.12,E18,Hyde Park
2566,CENTRE ST,42.32,-71.11,E13,Jamaica Plain
2567,MARCELLA ST,42.33,-71.1,B2,Roxbury
2568,WILLOW ST,42.29,-71.16,E5,West Roxbury
2569,GEORGETOWNE PL,42.26,-71.14,E5,West Roxbury
2570,BOARDMAN ST,42.39,-71.01,A7,East Boston
2571,HUDSON ST,42.35,-71.06,A1,Downtown?
2572,IRMA ST,42.29,-71.09,B3,Mattapan
2573,SHERIDAN ST,42.32,-71.11,E13,Jamaica Plain
2574,WOOD AVE,42.27,-71.11,E18,Hyde Park
2575,HUMBOLDT AVE,42.31,-71.09,B2,Roxbury
2576,W BROOKLINE ST,42.34,-71.07,D4,South End
2577,COLORADO ST,42.28,-71.1,B3,Mattapan
2578,QUEENSBERRY ST,42.34,-71.1,D4,South End
2579,MELNEA CASS BLVD,,,B2,Roxbury
2580,BROOKLINE AVE,42.34,-71.11,B2,Roxbury
2581,LUCERNE ST,42.29,-71.09,B3,Mattapan
2582,HOLDEN ST,42.32,-71.06,B2,Roxbury
2583,BRANDYWYNE DR,42.39,-71.01,A7,East Boston
2584,PRESCOTT ST,42.38,-71.02,A7,East Boston
2585,CONGRESS ST,42.36,-71.06,A1,Downtown?
2586,MASSACHUSETTS AVE,42.34,-71.08,D4,South End
2587,AMORY ST,42.32,-71.1,E13,Jamaica Plain
2588,ALBANY ST,42.34,-71.06,D4,South End
2589,COMMONWEALTH AVE,42.34,-71.15,D14,Brighton
2590,HAMILTON PL,42.36,-71.06,A1,Downtown?
2591,SCHUYLER ST,42.31,-71.09,B2,Roxbury
2592,ASHTON ST,42.29,-71.09,B3,Mattapan
2593,ATLANTIC AVE,,,A1,Downtown?
2594,SOLDIERS FIELD RD,42.36,-71.16,D14,Brighton
2595,HEREFORD ST,42.35,-71.09,D4,South End
2596,TUDOR ST,42.33,-71.05,C6,South Boston
2597,BEACON ST,42.35,-71.08,D4,South End
2598,DENT ST,42.28,-71.16,E5,West Roxbury
2599,SHAWMUT AVE,42.34,-71.08,D4,South End
2600,ARBORWAY,42.31,-71.12,E13,Jamaica Plain
2601,PARK DR,42.34,-71.1,D4,South End
2602,ESTELLA ST,42.29,-71.09,B3,Mattapan
2603,FRENCH TER,42.33,-71.1,B2,Roxbury
2604,MILK ST,42.36,-71.05,A1,Downtown?
2605,E DEDHAM ST,42.34,-71.07,D4,South End
2606,GLEASON ST,42.3,-71.08,B3,Mattapan
2607,MARLBOROUGH ST,42.35,-71.09,D4,South End
2608,SCHOOL ST,42.36,-71.14,D14,Brighton
2609,CLARENCE ST,42.32,-71.07,B2,Roxbury
2610,WEBSTER ST,42.37,-71.03,A7,East Boston
2611,FULLER ST,42.28,-71.08,B3,Mattapan
2612,MASSACHUSETTS AVE,42.34,-71.08,D4,South End
2613,DALTON ST,42.35,-71.09,D4,South End
2614,UNION PARK ST,42.34,-71.07,D4,South End
2615,FOODMART RD,42.34,-71.06,C6,South Boston
2616,WITHINGTON ST,42.29,-71.07,B3,Mattapan
2617,W HOWELL ST,42.33,-71.06,C6,South Boston
2618,KIRKWOOD RD,42.34,-71.16,D14,Brighton
2619,MAYFAIR ST,42.32,-71.09,B2,Roxbury
2620,WALK HILL ST,42.28,-71.09,B3,Mattapan
2621,9 AVE,,,,
2622,CAMBRIDGE ST,42.36,-71.07,A1,Downtown?
2623,MASSACHUSETTS AVE,42.34,-71.08,D4,South End
2624,DORCHESTER ST,42.34,-71.04,C6,South Boston
2625,RIVER ST,42.27,-71.08,B3,Mattapan
2626,DORCHESTER AVE,42.33,-71.06,C6,South Boston
2627,REVERE ST,42.36,-71.07,A1,Downtown?
2628,DRESSER ST,42.34,-71.05,C6,South Boston
2629,SPRING ST,42.28,-71.16,E5,West Roxbury
2630,COMMONWEALTH AVE,,,D4,South End
2631,HIGH ST,42.38,-71.07,A15,Charlestown
2632,COOPER ST,42.36,-71.06,A1,Downtown?
2633,BROAD ST,42.36,-71.05,A1,Downtown?
2634,CHESTERTON ST,,,C6,South Boston
2635,ALBANO ST,42.28,-71.13,E5,West Roxbury
2636,WASHINGTON ST,42.32,-71.1,E13,Jamaica Plain
2637,GEORGETOWNE DR,42.26,-71.14,E5,West Roxbury
2638,BOSTON ST,42.32,-71.06,C11,Dorchester
2639,CHELSEA ST,42.38,-71.03,A7,East Boston
2640,HUNTINGTON AVE,42.34,-71.09,D4,South End
2641,IMRIE RD,42.35,-71.14,D14,Brighton
2642,CLARE AVE,42.27,-71.12,E18,Hyde Park
2643,LEGENDS WAY,42.37,-71.06,A1,Downtown?
2644,HARVARD AVE,42.3,-71.08,B3,Mattapan
2645,WESTVIEW ST,42.29,-71.09,B3,Mattapan
2646,RIVER ST,42.27,-71.1,E18,Hyde Park
2647,MCNULTY CT,42.38,-71.06,A15,Charlestown
2648,WASHINGTON ST,42.29,-71.12,E5,West Roxbury
2649,E INDIA ROW,42.36,-71.05,A1,Downtown?
2650,RIVER ST,42.25,-71.13,E18,Hyde Park
2651,POPES HILL ST,42.29,-71.05,C11,Dorchester
2652,SOUTHBOURNE RD,42.29,-71.12,E13,Jamaica Plain
2653,E COTTAGE ST,42.32,-71.06,C11,Dorchester
2654,CENTRE ST,42.32,-71.11,E13,Jamaica Plain
2655,NORTHAMPTON ST,42.33,-71.07,D4,South End
2656,S HUNTINGTON AVE,42.32,-71.11,E13,Jamaica Plain
2657,ALLSTATE RD,42.33,-71.06,C6,South Boston
2658,MEREDITH ST,42.28,-71.15,E5,West Roxbury
2659,CEYLON ST,42.31,-71.07,B2,Roxbury
2660,BLACKSTONE ST,,,A1,Downtown?
2661,MASSACHUSETTS AVE,42.33,-71.07,D4,South End
2662,BEACON ST,42.34,-71.15,D14,Brighton
2663,FAIRMOUNT AVE,42.26,-71.12,E18,Hyde Park
2664,LAWRENCE AVE,42.31,-71.07,B2,Roxbury
2665,MASSACHUSETTS AVE,42.34,-71.08,D4,South End
2666,MASSACHUSETTS AVE,,,B2,Roxbury
2667,BRAYTON RD,42.35,-71.17,D14,Brighton
2668,DAKOTA ST,42.3,-71.07,C11,Dorchester
2669,LONSDALE ST,42.29,-71.06,C11,Dorchester
2670,REGENT ST,42.32,-71.09,B2,Roxbury
2671,RIVER STREET TER,42.26,-71.11,E18,Hyde Park
2672,ATHENS ST,42.34,-71.05,C6,South Boston
2673,LESTON ST,,,B3,Mattapan
2674,CHESTER ST,42.35,-71.13,D14,Brighton
2675,HYDE PARK AVE,42.25,-71.13,E18,Hyde Park
2676,IRWIN AVE,42.32,-71.08,B2,Roxbury
2677,RIVER ST,42.26,-71.12,E18,Hyde Park
2678,BROWNING AVE,42.29,-71.08,B3,Mattapan
2679,DALESSIO CT,42.34,-71.06,C6,South Boston
2680,PARK ST,42.3,-71.07,C11,Dorchester
2681,KENILWORTH ST,42.33,-71.09,B2,Roxbury
2682,WOODMONT ST,42.36,-71.16,D14,Brighton
2683,MARCELLA ST,42.33,-71.1,B2,Roxbury
2684,SALEM ST,42.36,-71.06,A1,Downtown?
2685,BURBANK ST,42.34,-71.09,D4,South End
2686,HYDE PARK AVE,42.24,-71.13,E18,Hyde Park
2687,READING ST,42.33,-71.07,B2,Roxbury
2688,MAGNOLIA ST,42.31,-71.07,B2,Roxbury
2689,MASSACHUSETTS AVE,,,C6,South Boston
2690,RALSTON RD,42.27,-71.1,E18,Hyde Park
2691,STUART ST,42.35,-71.07,A1,Downtown?
2692,CHISHOLM RD,42.28,-71.13,E5,West Roxbury
2693,PREBLE ST,42.33,-71.05,C6,South Boston
2694,LENOX ST,42.34,-71.08,D4,South End
2695,MAVERICK ST,42.37,-71.03,A7,East Boston
2696,HAMILTON ST,42.31,-71.07,C11,Dorchester
2697,QUINCY ST,42.31,-71.07,B2,Roxbury
2698,PERRY ST,42.34,-71.07,D4,South End
2699,CHESTNUT HILL AVE,42.34,-71.16,D14,Brighton
2700,HANOVER ST,42.37,-71.05,A1,Downtown?
2701,MASSACHUSETTS AVE,42.33,-71.07,C6,South Boston
2702,F ST,42.34,-71.05,C6,South Boston
2703,BROMFIELD ST,,,A1,Downtown?
2704,DORCHESTER AVE,42.32,-71.06,C6,South Boston
2705,UNIVERSITY RD,42.35,-71.11,D4,South End
2706,HAWTHORNE ST,42.28,-71.13,E5,West Roxbury
2707,MEDWAY ST,42.27,-71.07,C11,Dorchester
2708,IFFLEY RD,42.31,-71.1,E13,Jamaica Plain
2709,BLUE HILL AVE,42.31,-71.08,B2,Roxbury
2710,FRANKLIN PARK RD,42.3,-71.09,B2,Roxbury
2711,E ST,42.34,-71.05,C6,South Boston
2712,RIVER ST,42.27,-71.08,B3,Mattapan
2713,COMMONWEALTH AVE,42.35,-71.07,D4,South End
2714,ROSEWAY ST,42.32,-71.11,E13,Jamaica Plain
2715,WOODROW AVE,42.29,-71.09,B3,Mattapan
2716,E SECOND ST,42.34,-71.03,C6,South Boston
2717,BOSTON ST,42.32,-71.06,C6,South Boston
2718,FRANCIS ST,42.34,-71.11,B2,Roxbury
2719,LONG WHARF,,,A1,Downtown?
2720,E FOURTH ST,42.33,-71.04,C6,South Boston
2721,RUGBY RD,42.27,-71.1,E18,Hyde Park
2722,DORCHESTER AVE,42.32,-71.06,C6,South Boston
2723,WALNUT AVE,42.32,-71.09,B2,Roxbury
2724,COLUMBUS AVE,,,E13,Jamaica Plain
2725,CROSS ST,,,A1,Downtown?
2726,TRAIN ST,42.3,-71.06,C11,Dorchester
2727,CEDAR ST,42.27,-71.08,B3,Mattapan
2728,COMMON ST,42.37,-71.06,A15,Charlestown
2729,CHISWICK RD,42.34,-71.15,D14,Brighton
2730,CENTRE ST,42.32,-71.11,E13,Jamaica Plain
2731,ADAMS ST,42.3,-71.06,C11,Dorchester
2732,AMERICAN LEGION HWY,42.29,-71.11,E18,Hyde Park
2733,CUMMINS HWY,42.27,-71.1,B3,Mattapan
2734,WASHINGTON ST,42.36,-71.06,A1,Downtown?
2735,DOONE AVE,42.28,-71.08,B3,Mattapan
2736,GROVELAND ST,42.27,-71.08,B3,Mattapan
2737,NORTHAMPTON ST,42.34,-71.08,D4,South End
2738,SAVIN HILL AVE,42.31,-71.05,C11,Dorchester
2739,TUFTS ST,42.38,-71.06,A15,Charlestown
2740,E EIGHTH ST,42.33,-71.04,C6,South Boston
2741,SOUTH ST,42.31,-71.11,E13,Jamaica Plain
2742,WENSLEY ST,42.33,-71.1,B2,Roxbury
2743,CHELSEA ST,42.38,-71.03,A7,East Boston
2744,SPENCER ST,42.29,-71.08,B3,Mattapan
2745,SHEPTON ST,42.29,-71.06,C11,Dorchester
2746,BROMFIELD ST,42.36,-71.06,A1,Downtown?
2747,MANOR ST,42.29,-71.05,C11,Dorchester
2748,CHELSEA ST,42.38,-71.03,A7,East Boston
2749,WEST ST,42.26,-71.12,E18,Hyde Park
2750,HANOVER,,,A1,Downtown?
2751,FAIRFIELD ST,42.35,-71.08,D4,South End
2752,CHATHAM ST,42.36,-71.06,A1,Downtown?
2753,BROOKWAY RD,42.29,-71.12,E5,West Roxbury
2754,MARINE RD,42.33,-71.04,C6,South Boston
2755,BUNKER HILL ST,42.38,-71.06,A15,Charlestown
2756,DIXWELL ST,42.31,-71.1,E13,Jamaica Plain
2757,O'REILLY WAY,42.38,-71.06,A15,Charlestown
2758,DUDLEY ST,42.33,-71.09,B2,Roxbury
2759,SUMMER ST,42.35,-71.06,A1,Downtown?
2760,LASELL ST,42.29,-71.17,E5,West Roxbury
2761,SAINT JAMES ST,42.33,-71.09,B2,Roxbury
2762,CEDAR ST,42.33,-71.09,B2,Roxbury
2763,SOJOURNER TRUTH CT,42.33,-71.08,B2,Roxbury
2764,COMMONWEALTH AVE,42.35,-71.07,D4,South End
2765,RADCLIFFE ST,42.3,-71.08,B3,Mattapan
2766,LEEDS ST,42.33,-71.06,C6,South Boston
2767,BELLEVUE ST,42.28,-71.16,E5,West Roxbury
2768,QUINCY ST,42.31,-71.08,B2,Roxbury
2769,PARK ST,42.29,-71.08,B3,Mattapan
2770,MAGAZINE ST,,,C6,South Boston
2771,E SEVENTH ST,42.33,-71.03,C6,South Boston
2772,COREY ST,42.28,-71.15,E5,West Roxbury
2773,PARK DR,42.34,-71.1,D4,South End
2774,FOSTER ST,42.34,-71.16,D14,Brighton
2775,HAMMOND ST,42.34,-71.08,D4,South End
2776,HARRISON AVE,42.35,-71.06,D4,South End
2777,READVILLE ST,42.25,-71.13,E18,Hyde Park
2778,PRINCE ST,42.36,-71.05,A1,Downtown?
2779,MOUNT VERNON ST,42.28,-71.16,E5,West Roxbury
2780,N BENNET ST,42.37,-71.05,A1,Downtown?
2781,BOWDOIN ST,42.3,-71.07,C11,Dorchester
2782,BATCHELDER ST,42.32,-71.07,B2,Roxbury
2783,MILLSTONE RD,42.23,-71.13,E18,Hyde Park
2784,BOYLSTON ST,42.35,-71.09,D4,South End
2785,WOODROW AVE,42.29,-71.08,B3,Mattapan
2786,WASHINGTON ST,42.34,-71.07,D4,South End
2787,BLUE HILL AVE,42.31,-71.08,B2,Roxbury
2788,COMO RD,42.24,-71.14,E18,Hyde Park
2789,HARWOOD ST,42.29,-71.09,B3,Mattapan
2790,BELDEN ST,42.32,-71.06,B2,Roxbury
2791,,,,E13,Jamaica Plain
2792,KINGSDALE ST,42.3,-71.08,B3,Mattapan
2793,DORCHESTER ST,42.33,-71.06,C6,South Boston
2794,BEACON ST,42.36,-71.07,A1,Downtown?
2795,VAN NESS ST,42.35,-71.1,D4,South End
2796,BAKER ST,42.27,-71.17,E5,West Roxbury
2797,MAGNOLIA ST,42.32,-71.07,B2,Roxbury
2798,MYOPIA RD,42.26,-71.13,E18,Hyde Park
2799,JOHNSTON RD,42.29,-71.09,B3,Mattapan
2800,BLUE LEDGE DR,42.27,-71.14,E5,West Roxbury
2801,AMES ST,,,B3,Mattapan
2802,DUDLEY ST,42.32,-71.07,B2,Roxbury
2803,SHEAFE ST,42.37,-71.06,A1,Downtown?
2804,EASTON AVE,42.25,-71.12,E18,Hyde Park
2805,WELD ST,42.29,-71.14,E5,West Roxbury
2806,EMBASSY RD,42.34,-71.16,D14,Brighton
2807,LAURIE AVE,42.27,-71.17,E5,West Roxbury
2808,NEWMARKET SQ,42.33,-71.07,C6,South Boston
2809,COMMONWEALTH AVE,42.35,-71.14,D14,Brighton
2810,MASSACHUSETTS AVE,42.32,-71.06,C6,South Boston
2811,PARK LN,42.35,-71.04,C6,South Boston
2812,BOYLSTON ST,,,D4,South End
2813,DUDLEY ST,42.33,-71.08,B2,Roxbury
2814,NORTH AVE,42.32,-71.07,B2,Roxbury
2815,WAYLAND ST,42.31,-71.08,B2,Roxbury
2816,NEPONSET FIELD LN,42.26,-71.11,E18,Hyde Park
2817,VFW PKWY,42.27,-71.17,E5,West Roxbury
2818,HARVARD ST,42.3,-71.08,B3,Mattapan
2819,JEWISH WAR VETERANS DR,42.3,-71.09,B2,Roxbury
2820,,42.3,-71.08,,
