LOCATIONID,STREET,LAT,LON,POLICE_DISTRICT,DISTRICT
114,WASHINGTON ST,42.29,-71.07,C11,Dorchester
115,SPEEDWELL ST,42.3,-71.07,C11,Dorchester
116,BEVERLY ST,42.37,-71.06,A1,Downtown?
117,LYNDHURST ST,42.29,-71.07,C11,Dorchester
118,COLUMBIA RD,42.31,-71.07,C11,Dorchester
119,WESTVILLE TER,42.3,-71.07,C11,Dorchester
120,BOYLSTON ST,42.35,-71.07,D4,South End
121,MILK ST,42.36,-71.05,A1,Downtown?
122,TOWNSEND ST,42.32,-71.09,B2,Roxbury
123,NAVARRE ST,42.28,-71.12,E18,Hyde Park
124,ATLANTIC AVE,42.36,-71.05,A1,Downtown?
125,FULLER ST,42.28,-71.07,C11,Dorchester
126,WHITTIER ST,42.33,-71.09,B2,Roxbury
127,TREMONT ST,42.33,-71.09,B2,Roxbury
128,GREENWOOD AVE,42.27,-71.12,E18,Hyde Park
129,RIVER ST,42.26,-71.1,E18,Hyde Park
130,ASPINWALL RD,42.29,-71.07,B3,Mattapan
131,HUNTINGTON AVE,42.34,-71.1,B2,Roxbury
132,WHEATLEY WAY,42.33,-71.08,B2,Roxbury
133,ADAMS ST,42.27,-71.07,C11,Dorchester
134,GREYLOCK RD,42.35,-71.13,D14,Brighton
135,W BROADWAY,42.34,-71.05,C6,South Boston
136,HARRISON AVE,42.34,-71.07,D4,South End
137,TOPLIFF ST,42.3,-71.07,C11,Dorchester
138,NEWBURY ST,42.35,-71.09,D4,South End
139,PEACEABLE ST,42.35,-71.15,D14,Brighton
140,ALBANY ST,42.34,-71.06,D4,South End
141,COMMONWEALTH AVE,42.35,-71.09,D4,South End
142,BEACON ST,42.35,-71.08,D4,South End
143,RUGGLES ST,42.33,-71.09,B2,Roxbury
144,NORFOLK ST,42.29,-71.07,B3,Mattapan
145,GARFIELD AVE,42.24,-71.12,E18,Hyde Park
146,HUCKINS ST,42.32,-71.08,B2,Roxbury
147,GREENWOOD ST,42.3,-71.08,B3,Mattapan
148,CAMBRIDGE ST,42.38,-71.08,A15,Charlestown
149,MASCOT ST,42.29,-71.09,B3,Mattapan
150,ARLINGTON ST,42.35,-71.07,A1,Downtown?
151,ARBORWAY,42.31,-71.12,E13,Jamaica Plain
152,HARVARD ST,42.35,-71.06,A1,Downtown?
153,FAIRLAWN AVE,42.27,-71.1,E18,Hyde Park
154,BULLARD ST,42.3,-71.07,C11,Dorchester
155,PORTSMOUTH ST,42.36,-71.14,D14,Brighton
156,NORWELL ST,42.3,-71.08,B3,Mattapan
157,HUNTINGTON AVE,42.34,-71.09,D4,South End
158,WOODHAVEN ST,42.27,-71.1,B3,Mattapan
159,TREMONT ST,42.35,-71.06,A1,Downtown?
160,BOYLSTON ST,42.35,-71.09,D4,South End
161,FAYETTE ST,42.35,-71.07,A1,Downtown?
162,TREMONT ST,42.35,-71.07,A1,Downtown?
163,BEACON ST,42.25,-71.12,E18,Hyde Park
164,WHITBY TER,42.31,-71.06,C11,Dorchester
165,WAVERLY ST,42.32,-71.08,B2,Roxbury
166,WASHINGTON ST,42.35,-71.17,D14,Brighton
167,,42.3,-71.09,,
168,LYNNVILLE TER,42.3,-71.08,B3,Mattapan
169,EUSTIS ST,42.33,-71.08,B2,Roxbury
170,FANEUIL HALL MARKETPLACE,42.36,-71.05,A1,Downtown?
171,BOWDOIN AVE,42.3,-71.08,C11,Dorchester
172,AMERICAN LEGION HWY,42.29,-71.1,E13,Jamaica Plain
173,,42.34,-71.08,,
174,SUMNER ST,42.37,-71.04,A7,East Boston
175,SHAWMUT AVE,42.34,-71.07,D4,South End
176,TALBOT AVE,42.29,-71.07,C11,Dorchester
177,DAWSON ST,42.29,-71.06,C11,Dorchester
178,DITSON ST,42.3,-71.06,C11,Dorchester
179,SHAWMUT AVE,42.34,-71.07,D4,South End
180,GORDON ST,42.35,-71.14,D14,Brighton
181,BURT ST,42.28,-71.07,C11,Dorchester
182,COLUMBUS AVE,42.35,-71.07,A1,Downtown?
183,JERSEY ST,42.34,-71.1,D4,South End
184,DORCHESTER AVE,42.31,-71.06,C11,Dorchester
185,ALLSTATE RD,42.33,-71.06,C6,South Boston
186,TAFT ST,42.32,-71.06,C11,Dorchester
187,COMMONWEALTH AVE,42.35,-71.1,D4,South End
188,HARVARD AVE,42.26,-71.12,E18,Hyde Park
189,MALTA ST,42.27,-71.1,E18,Hyde Park
190,BLUE HILL AVE,42.27,-71.09,B3,Mattapan
191,CHELSEA ST,42.38,-71.03,A7,East Boston
192,W SELDEN ST,42.27,-71.09,B3,Mattapan
193,COLUMBUS AVE,42.32,-71.1,E13,Jamaica Plain
194,BOYLSTON ST,42.35,-71.06,A1,Downtown?
195,HILLSIDE ST,42.33,-71.1,B2,Roxbury
196,DORCHESTER AVE,42.3,-71.06,C11,Dorchester
197,ROBINWOOD AVE,42.32,-71.11,E13,Jamaica Plain
198,SUMMER ST,42.35,-71.06,A1,Downtown?
199,SLAYTON WAY,42.32,-71.1,B2,Roxbury
200,P ST,42.33,-71.03,C6,South Boston
201,ADAMS ST,42.29,-71.06,C11,Dorchester
202,,42.31,-71.08,,
203,BOYLSTON ST,42.35,-71.08,D4,South End
204,,42.31,-71.07,,
205,COLEMAN ST,42.31,-71.07,C11,Dorchester
206,CARSON ST,42.32,-71.05,C11,Dorchester
207,CENTRE ST,42.33,-71.09,B2,Roxbury
208,AMERICAN LEGION HWY,42.28,-71.12,E18,Hyde Park
209,E BROADWAY,42.34,-71.04,C6,South Boston
210,WASHINGTON ST,42.35,-71.15,D14,Brighton
211,MORTON ST,42.28,-71.09,B3,Mattapan
212,WASHINGTON ST,42.29,-71.07,C11,Dorchester
